time, current_loop, loop_latency, logic_execution_time, conveyor_belt_engine_status(8), conveyor_belt_engine_mode(9), bottle_level_value(10), bottle_level_max(11), bottle_distance_to_filler_value(12), 
2025-01-10 03:23:08.611374, 1736450588600, 2, 0, 1.0, 3.0, 0.0, 1.8, 10.0, 
2025-01-10 03:23:10.825047, 1736450588800, 0, 2006, 1.0, 3.0, 0.0, 1.8, 19.0, 
2025-01-10 03:23:10.831559, 1736450590800, 1825, 6, 1.0, 3.0, 0.0, 1.8, 19.0, 
2025-01-10 03:23:11.003514, 1736450591000, 0, 3, 1.0, 3.0, 0.0, 1.8, 18.5, 
2025-01-10 03:23:11.214465, 1736450591200, 0, 5, 1.0, 3.0, 0.0, 1.8, 17.0, 
2025-01-10 03:23:13.429314, 1736450591400, 6, 2004, 1.0, 3.0, 0.0, 1.8, 6.0, 
2025-01-10 03:23:13.430564, 1736450593400, 1830, 0, 1.0, 3.0, 0.0, 1.8, 6.0, 
2025-01-10 03:23:13.603333, 1736450593600, 0, 2, 1.0, 3.0, 0.0, 1.8, 5.5, 
2025-01-10 03:23:13.813291, 1736450593800, 2, 2, 1.0, 3.0, 0.0, 1.8, 4.5, 
2025-01-10 03:23:16.007135, 1736450594000, 3, 2003, 1.0, 3.0, 0.0, 1.8, 13.5, 
2025-01-10 03:23:16.008782, 1736450596000, 1808, 0, 1.0, 3.0, 0.0, 1.8, 13.5, 
2025-01-10 03:23:16.208553, 1736450596200, 4, 3, 1.0, 3.0, 0.0, 1.8, 12.5, 
2025-01-10 03:23:16.423607, 1736450596400, 2, 2, 1.0, 3.0, 0.0, 1.8, 11.0, 
2025-01-10 03:23:18.607221, 1736450596600, 0, 2007, 1.0, 3.0, 0.0, 1.8, 0.0, 
2025-01-10 03:23:18.608107, 1736450598600, 1807, 1, 1.0, 3.0, 0.0, 1.8, 0.0, 
2025-01-10 03:23:18.813096, 1736450598800, 3, 10, 1.0, 3.0, 0.0, 1.8, 19.0, 
2025-01-10 03:23:19.005249, 1736450599000, 1, 3, 1.0, 3.0, 0.0, 1.8, 18.5, 
2025-01-10 03:23:21.217356, 1736450599200, 1, 2006, 1.0, 3.0, 0.0, 1.8, 7.0, 
2025-01-10 03:23:21.219023, 1736450601200, 1818, 1, 1.0, 3.0, 0.0, 1.8, 7.0, 
2025-01-10 03:23:21.405932, 1736450601400, 3, 2, 1.0, 3.0, 0.0, 1.8, 6.5, 
2025-01-10 03:23:21.623655, 1736450601600, 3, 1, 1.0, 3.0, 0.0, 1.8, 5.0, 
2025-01-10 03:23:23.828249, 1736450601800, 3, 2005, 1.0, 3.0, 0.0, 1.8, 14.0, 
2025-01-10 03:23:23.829779, 1736450603800, 1829, 0, 1.0, 3.0, 0.0, 1.8, 14.0, 
2025-01-10 03:23:24.004869, 1736450604000, 3, 1, 1.0, 3.0, 0.0, 1.8, 13.5, 
2025-01-10 03:23:24.203438, 1736450604200, 0, 3, 1.0, 3.0, 0.0, 1.8, 12.5, 
2025-01-10 03:23:26.414419, 1736450604400, 2, 2002, 1.0, 3.0, 0.0, 1.8, 1.0, 
2025-01-10 03:23:26.416385, 1736450606400, 1815, 1, 1.0, 3.0, 0.0, 1.8, 1.0, 
2025-01-10 03:23:26.601189, 1736450606600, 0, 1, 1.0, 3.0, 0.0, 1.8, 0.5, 
2025-01-10 03:23:26.811948, 1736450606800, 2, 0, 1.0, 3.0, 0.0, 1.8, 19.0, 
2025-01-10 03:23:29.029150, 1736450607000, 1, 2006, 1.0, 3.0, 0.0, 1.8, 8.0, 
